cliente_id,nombre_cliente,tipo_cliente,zona_id,nombre_zona,empleado_id,nombre_comercial,activo,fecha_alta,fecha_baja
22,Bar Sanjuan,Bar,3,Madrid Sur,10,Marcelino Palacio,Sí,2021-05-03,
23,Supermercado Pedro,Supermercado,6,Alcobendas,13,Bernarda Gallo,Sí,2020-12-05,
24,Supermercado Cuevas,Supermercado,9,Leganés,15,Simón Coello,Sí,2016-10-07,
25,Bar Chaparro,Bar,1,Madrid Centro,8,Perla Arenas,Sí,2024-08-12,
26,Supermercado Lloret,Supermercado,3,Madrid Sur,10,Marcelino Palacio,No,2025-01-11,2025-06-14
27,Bar Hervás,Bar,8,Getafe,15,Simón Coello,Sí,2016-10-27,
28,Gasolinera Vargas,Gasolinera,4,Madrid Este,11,Tristán Laguna,Sí,2020-07-14,
29,Supermercado Aller,Supermercado,5,Madrid Oeste,12,Manola Larrañaga,Sí,2022-07-03,
30,Bar Cózar,Bar,3,Madrid Sur,10,Marcelino Palacio,Sí,2020-12-03,
31,Bar Coll,Bar,4,Madrid Este,11,Tristán Laguna,Sí,2022-06-24,
32,Restaurante Guijarro,Restaurante,3,Madrid Sur,10,Marcelino Palacio,No,2019-10-08,2020-03-13
33,Bar Sales,Bar,4,Madrid Este,11,Tristán Laguna,No,2022-02-09,2023-03-01
34,Bar Lumbreras,Bar,4,Madrid Este,11,Tristán Laguna,Sí,2025-09-18,
35,Bar Ochoa,Bar,1,Madrid Centro,8,Perla Arenas,Sí,2021-01-06,
36,Bar Garriga,Bar,4,Madrid Este,11,Tristán Laguna,Sí,2022-12-03,
37,Tienda Mateu,Tienda,4,Madrid Este,11,Tristán Laguna,Sí,2020-08-24,
38,Supermercado Egea,Supermercado,3,Madrid Sur,10,Marcelino Palacio,Sí,2017-01-10,
39,Bar Pareja,Bar,1,Madrid Centro,8,Perla Arenas,Sí,2017-10-08,
40,Tienda Beltrán,Tienda,2,Madrid Norte,9,Carolina Lopez,Sí,2019-01-04,
41,Bar Neira,Bar,2,Madrid Norte,9,Carolina Lopez,Sí,2025-02-20,
42,Bar Crespi,Bar,1,Madrid Centro,8,Perla Arenas,Sí,2023-08-26,
43,Tienda Barba,Tienda,4,Madrid Este,11,Tristán Laguna,No,2020-08-25,2021-07-06
44,Bar Agustí,Bar,3,Madrid Sur,10,Marcelino Palacio,Sí,2019-06-15,
45,Bar Tejero,Bar,9,Leganés,15,Simón Coello,Sí,2023-03-07,
46,Restaurante Lobo,Restaurante,8,Getafe,15,Simón Coello,Sí,2023-12-03,
47,Bar Higueras,Bar,3,Madrid Sur,10,Marcelino Palacio,Sí,2024-06-07,
48,Restaurante Ibáñez,Restaurante,5,Madrid Oeste,12,Manola Larrañaga,Sí,2020-12-30,
49,Bar Ramón,Bar,3,Madrid Sur,10,Marcelino Palacio,Sí,2019-11-25,
50,Bar Miró,Bar,3,Madrid Sur,10,Marcelino Palacio,Sí,2023-09-05,
51,Restaurante Juárez,Restaurante,7,San Sebastián de los Reyes,14,Azahara Giménez,Sí,2018-05-08,
52,Supermercado Ayllón,Supermercado,3,Madrid Sur,10,Marcelino Palacio,Sí,2018-03-03,
53,Tienda Fabregat,Tienda,4,Madrid Este,11,Tristán Laguna,Sí,2021-05-16,
54,Bar Cabrero,Bar,1,Madrid Centro,8,Perla Arenas,Sí,2018-11-02,
55,Bar Cerezo,Bar,4,Madrid Este,11,Tristán Laguna,Sí,2019-02-08,
56,Bar Pizarro,Bar,6,Alcobendas,13,Bernarda Gallo,Sí,2023-08-20,
57,Restaurante Amor,Restaurante,3,Madrid Sur,10,Marcelino Palacio,Sí,2017-03-05,
58,Tienda Portillo,Tienda,5,Madrid Oeste,12,Manola Larrañaga,Sí,2021-02-04,
59,Bar Gonzalo,Bar,1,Madrid Centro,8,Perla Arenas,Sí,2019-04-17,
60,Bar Urrutia,Bar,7,San Sebastián de los Reyes,14,Azahara Giménez,Sí,2023-07-28,
61,Bar Carreras,Bar,8,Getafe,15,Simón Coello,Sí,2016-12-15,
62,Bar Porras,Bar,3,Madrid Sur,10,Marcelino Palacio,Sí,2024-09-16,
63,Bar Villalba,Bar,2,Madrid Norte,9,Carolina Lopez,Sí,2023-08-01,
64,Tienda Enríquez,Tienda,7,San Sebastián de los Reyes,14,Azahara Giménez,Sí,2016-06-26,
65,Bar Guerrero,Bar,3,Madrid Sur,10,Marcelino Palacio,Sí,2025-07-24,
66,Restaurante Arnaiz,Restaurante,4,Madrid Este,11,Tristán Laguna,Sí,2019-06-07,
67,Tienda Caro,Tienda,3,Madrid Sur,10,Marcelino Palacio,Sí,2024-05-07,
68,Bar Ferrero,Bar,6,Alcobendas,13,Bernarda Gallo,Sí,2022-08-22,
69,Restaurante Somoza,Restaurante,1,Madrid Centro,8,Perla Arenas,Sí,2023-12-01,
70,Tienda Padilla,Tienda,3,Madrid Sur,10,Marcelino Palacio,No,2024-10-30,2025-03-18
71,Restaurante Valdés,Restaurante,1,Madrid Centro,8,Perla Arenas,Sí,2020-07-11,
72,Bar Bellido,Bar,4,Madrid Este,11,Tristán Laguna,No,2025-06-17,2025-12-07
73,Bar Ariza,Bar,1,Madrid Centro,8,Perla Arenas,Sí,2019-11-14,
74,Bar Hervás,Bar,1,Madrid Centro,8,Perla Arenas,Sí,2024-09-27,
75,Bar Prado,Bar,4,Madrid Este,11,Tristán Laguna,No,2021-06-03,2021-12-13
76,Restaurante Palomares,Restaurante,2,Madrid Norte,9,Carolina Lopez,Sí,2024-09-16,
77,Bar Gordillo,Bar,5,Madrid Oeste,12,Manola Larrañaga,Sí,2020-03-25,
78,Tienda Piña,Tienda,1,Madrid Centro,8,Perla Arenas,Sí,2024-12-15,
79,Bar Morante,Bar,5,Madrid Oeste,12,Manola Larrañaga,Sí,2022-06-30,
80,Tienda Aranda,Tienda,1,Madrid Centro,8,Perla Arenas,No,2023-11-25,2025-03-05
81,Restaurante Tejada,Restaurante,6,Alcobendas,13,Bernarda Gallo,Sí,2019-01-01,
82,Tienda Checa,Tienda,4,Madrid Este,11,Tristán Laguna,Sí,2025-09-16,
83,Bar Jurado,Bar,2,Madrid Norte,9,Carolina Lopez,Sí,2022-01-21,
84,Bar Sastre,Bar,8,Getafe,15,Simón Coello,Sí,2022-06-09,
85,Supermercado Corominas,Supermercado,11,Alcorcón,16,Baltasar Navas,Sí,2024-01-22,
86,Supermercado Sedano,Supermercado,4,Madrid Este,11,Tristán Laguna,Sí,2020-08-13,
87,Bar Salamanca,Bar,7,San Sebastián de los Reyes,14,Azahara Giménez,Sí,2023-10-20,
88,Bar Pereira,Bar,4,Madrid Este,11,Tristán Laguna,Sí,2017-06-18,
89,Bar Cabeza,Bar,2,Madrid Norte,9,Carolina Lopez,Sí,2023-02-13,
90,Bar Aguado,Bar,8,Getafe,15,Simón Coello,Sí,2021-10-07,
91,Supermercado Trujillo,Supermercado,2,Madrid Norte,9,Carolina Lopez,Sí,2020-11-11,
92,Bar Niño,Bar,8,Getafe,15,Simón Coello,Sí,2023-04-15,
93,Tienda Bauzà,Tienda,3,Madrid Sur,10,Marcelino Palacio,Sí,2019-05-01,
94,Bar Pallarès,Bar,7,San Sebastián de los Reyes,14,Azahara Giménez,Sí,2023-01-14,
95,Tienda Catalán,Tienda,5,Madrid Oeste,12,Manola Larrañaga,Sí,2024-10-26,
96,Gasolinera Mercader,Gasolinera,3,Madrid Sur,10,Marcelino Palacio,Sí,2022-10-29,
97,Supermercado Palomares,Supermercado,6,Alcobendas,13,Bernarda Gallo,Sí,2022-11-02,
98,Restaurante Ruano,Restaurante,5,Madrid Oeste,12,Manola Larrañaga,Sí,2024-04-13,
99,Gasolinera Manjón,Gasolinera,5,Madrid Oeste,12,Manola Larrañaga,Sí,2024-05-09,
100,Bar Borja,Bar,1,Madrid Centro,8,Perla Arenas,Sí,2021-07-01,
101,Tienda Quirós,Tienda,7,San Sebastián de los Reyes,14,Azahara Giménez,Sí,2025-02-23,
102,Supermercado Calleja,Supermercado,9,Leganés,15,Simón Coello,Sí,2019-07-23,
103,Gasolinera Perea,Gasolinera,10,Móstoles,16,Baltasar Navas,Sí,2023-02-23,
104,Tienda Andres,Tienda,4,Madrid Este,11,Tristán Laguna,Sí,2021-02-04,
105,Tienda Cerro,Tienda,6,Alcobendas,13,Bernarda Gallo,Sí,2023-05-16,
106,Bar Pérez,Bar,5,Madrid Oeste,12,Manola Larrañaga,No,2022-07-08,2024-06-21
107,Bar Iñiguez,Bar,3,Madrid Sur,10,Marcelino Palacio,Sí,2022-07-17,
108,Tienda Gabaldón,Tienda,12,Fuenlabrada,17,Armando Caparrós,Sí,2024-02-11,
109,Bar Arjona,Bar,4,Madrid Este,11,Tristán Laguna,No,2024-02-03,2024-06-25
110,Bar Moreno,Bar,6,Alcobendas,13,Bernarda Gallo,Sí,2024-03-18,
111,Supermercado Belmonte,Supermercado,11,Alcorcón,16,Baltasar Navas,Sí,2016-12-24,
112,Tienda Lucena,Tienda,6,Alcobendas,13,Bernarda Gallo,Sí,2021-01-18,
113,Bar Giménez,Bar,2,Madrid Norte,9,Carolina Lopez,Sí,2025-10-20,
114,Gasolinera Barrena,Gasolinera,7,San Sebastián de los Reyes,14,Azahara Giménez,Sí,2025-11-27,
115,Gasolinera Clavero,Gasolinera,11,Alcorcón,16,Baltasar Navas,Sí,2020-04-01,
116,Bar Rovira,Bar,7,San Sebastián de los Reyes,14,Azahara Giménez,Sí,2023-12-22,
117,Bar Gimeno,Bar,5,Madrid Oeste,12,Manola Larrañaga,Sí,2025-09-21,
118,Bar Tello,Bar,9,Leganés,15,Simón Coello,Sí,2017-09-07,
119,Bar Téllez,Bar,9,Leganés,15,Simón Coello,No,2023-08-13,2023-09-06
120,Bar Linares,Bar,1,Madrid Centro,8,Perla Arenas,No,2017-07-29,2021-02-07
121,Bar Marin,Bar,1,Madrid Centro,8,Perla Arenas,Sí,2018-08-01,
122,Bar Tejada,Bar,8,Getafe,15,Simón Coello,Sí,2017-04-12,
123,Tienda Lago,Tienda,7,San Sebastián de los Reyes,14,Azahara Giménez,Sí,2023-11-25,
124,Restaurante Valdés,Restaurante,4,Madrid Este,11,Tristán Laguna,Sí,2022-05-03,
125,Restaurante Pallarès,Restaurante,3,Madrid Sur,10,Marcelino Palacio,No,2021-11-23,2022-11-26
126,Tienda Bernat,Tienda,5,Madrid Oeste,12,Manola Larrañaga,Sí,2022-02-03,
127,Bar Salvador,Bar,1,Madrid Centro,8,Perla Arenas,Sí,2016-08-28,
128,Bar Pont,Bar,5,Madrid Oeste,12,Manola Larrañaga,Sí,2019-10-27,
129,Gasolinera Cerro,Gasolinera,3,Madrid Sur,10,Marcelino Palacio,Sí,2020-10-21,
130,Restaurante Merino,Restaurante,7,San Sebastián de los Reyes,14,Azahara Giménez,Sí,2020-12-29,
131,Gasolinera Puente,Gasolinera,5,Madrid Oeste,12,Manola Larrañaga,Sí,2025-04-03,
132,Tienda Porta,Tienda,3,Madrid Sur,10,Marcelino Palacio,Sí,2019-08-15,
133,Bar López,Bar,3,Madrid Sur,10,Marcelino Palacio,No,2017-05-19,2022-03-11
134,Restaurante Carranza,Restaurante,12,Fuenlabrada,17,Armando Caparrós,Sí,2019-10-04,
135,Bar Nogués,Bar,1,Madrid Centro,8,Perla Arenas,Sí,2024-05-17,
136,Supermercado Chaparro,Supermercado,8,Getafe,15,Simón Coello,Sí,2022-06-17,
137,Supermercado Padilla,Supermercado,2,Madrid Norte,9,Carolina Lopez,No,2021-10-11,2023-11-16
138,Gasolinera Yáñez,Gasolinera,6,Alcobendas,13,Bernarda Gallo,Sí,2021-12-08,
139,Bar Calleja,Bar,5,Madrid Oeste,12,Manola Larrañaga,Sí,2018-05-10,
140,Tienda Cabo,Tienda,1,Madrid Centro,8,Perla Arenas,Sí,2017-11-16,
141,Supermercado Higueras,Supermercado,3,Madrid Sur,10,Marcelino Palacio,No,2025-08-05,2025-11-03
142,Bar Mariño,Bar,2,Madrid Norte,9,Carolina Lopez,Sí,2018-08-28,
143,Tienda Jove,Tienda,11,Alcorcón,16,Baltasar Navas,No,2018-02-07,2020-01-29
144,Tienda Adán,Tienda,5,Madrid Oeste,12,Manola Larrañaga,Sí,2016-07-21,
145,Tienda Gibert,Tienda,7,San Sebastián de los Reyes,14,Azahara Giménez,Sí,2023-04-24,
146,Tienda Amigó,Tienda,1,Madrid Centro,8,Perla Arenas,Sí,2024-03-10,
147,Gasolinera Ramón,Gasolinera,1,Madrid Centro,8,Perla Arenas,Sí,2023-02-02,
148,Bar Sedano,Bar,2,Madrid Norte,9,Carolina Lopez,Sí,2024-10-06,
149,Bar Suárez,Bar,5,Madrid Oeste,12,Manola Larrañaga,Sí,2024-10-28,
150,Bar Palacios,Bar,7,San Sebastián de los Reyes,14,Azahara Giménez,Sí,2020-11-26,
151,Tienda Guitart,Tienda,8,Getafe,15,Simón Coello,Sí,2018-08-16,
152,Restaurante Navarro,Restaurante,3,Madrid Sur,10,Marcelino Palacio,Sí,2025-11-03,
153,Tienda Rocamora,Tienda,7,San Sebastián de los Reyes,14,Azahara Giménez,Sí,2022-09-09,
154,Bar Corral,Bar,5,Madrid Oeste,12,Manola Larrañaga,Sí,2021-07-17,
155,Bar Domínguez,Bar,4,Madrid Este,11,Tristán Laguna,Sí,2019-07-30,
156,Bar Cisneros,Bar,7,San Sebastián de los Reyes,14,Azahara Giménez,Sí,2023-05-30,
157,Restaurante Querol,Restaurante,3,Madrid Sur,10,Marcelino Palacio,Sí,2019-02-23,
158,Bar Rodríguez,Bar,2,Madrid Norte,9,Carolina Lopez,No,2020-05-30,2022-03-26
159,Tienda Crespo,Tienda,3,Madrid Sur,10,Marcelino Palacio,Sí,2017-09-02,
160,Tienda Cerezo,Tienda,1,Madrid Centro,8,Perla Arenas,Sí,2018-03-12,
161,Bar Cerdán,Bar,5,Madrid Oeste,12,Manola Larrañaga,Sí,2023-04-05,
162,Tienda Jover,Tienda,5,Madrid Oeste,12,Manola Larrañaga,No,2025-12-23,2025-12-24
163,Bar Egea,Bar,1,Madrid Centro,8,Perla Arenas,Sí,2016-07-10,
164,Bar Poza,Bar,3,Madrid Sur,10,Marcelino Palacio,Sí,2021-08-10,
165,Bar Olivera,Bar,11,Alcorcón,16,Baltasar Navas,Sí,2023-12-26,
166,Tienda Plaza,Tienda,9,Leganés,15,Simón Coello,No,2021-12-02,2023-12-06
167,Bar Pont,Bar,4,Madrid Este,11,Tristán Laguna,Sí,2020-05-18,
168,Bar Vaquero,Bar,6,Alcobendas,13,Bernarda Gallo,Sí,2022-02-18,
169,Tienda Alcalde,Tienda,7,San Sebastián de los Reyes,14,Azahara Giménez,No,2024-07-15,2024-10-29
170,Bar Navarrete,Bar,11,Alcorcón,16,Baltasar Navas,Sí,2020-04-20,
171,Supermercado Mate,Supermercado,1,Madrid Centro,8,Perla Arenas,Sí,2025-09-07,
172,Bar Salvà,Bar,3,Madrid Sur,10,Marcelino Palacio,Sí,2025-09-02,
173,Bar Luís,Bar,7,San Sebastián de los Reyes,14,Azahara Giménez,Sí,2025-01-11,
174,Bar Vazquez,Bar,6,Alcobendas,13,Bernarda Gallo,Sí,2020-05-12,
175,Bar Salmerón,Bar,5,Madrid Oeste,12,Manola Larrañaga,Sí,2020-01-30,
176,Bar Ayllón,Bar,10,Móstoles,16,Baltasar Navas,Sí,2019-06-13,
177,Restaurante Quiroga,Restaurante,12,Fuenlabrada,17,Armando Caparrós,No,2018-12-29,2019-12-11
178,Bar Ramón,Bar,3,Madrid Sur,10,Marcelino Palacio,Sí,2022-04-04,
179,Bar Quero,Bar,2,Madrid Norte,9,Carolina Lopez,Sí,2020-12-02,
180,Restaurante Tomé,Restaurante,9,Leganés,15,Simón Coello,Sí,2020-06-18,
181,Bar Conde,Bar,1,Madrid Centro,8,Perla Arenas,Sí,2020-01-10,
182,Tienda Rozas,Tienda,11,Alcorcón,16,Baltasar Navas,Sí,2016-12-24,
183,Tienda Gárate,Tienda,12,Fuenlabrada,17,Armando Caparrós,Sí,2018-02-24,
184,Bar Lledó,Bar,3,Madrid Sur,10,Marcelino Palacio,Sí,2019-01-18,
185,Tienda Girona,Tienda,3,Madrid Sur,10,Marcelino Palacio,Sí,2017-12-06,
186,Bar Piña,Bar,6,Alcobendas,13,Bernarda Gallo,Sí,2024-06-20,
187,Bar Escamilla,Bar,3,Madrid Sur,10,Marcelino Palacio,No,2019-01-10,2022-12-02
188,Tienda Borrego,Tienda,3,Madrid Sur,10,Marcelino Palacio,No,2020-07-15,2023-10-07
189,Restaurante Iglesias,Restaurante,3,Madrid Sur,10,Marcelino Palacio,Sí,2019-08-31,
190,Bar Aragonés,Bar,5,Madrid Oeste,12,Manola Larrañaga,Sí,2022-03-01,
191,Supermercado Luque,Supermercado,8,Getafe,15,Simón Coello,Sí,2024-10-30,
192,Gasolinera Armas,Gasolinera,7,San Sebastián de los Reyes,14,Azahara Giménez,Sí,2023-03-29,
193,Tienda Gárate,Tienda,5,Madrid Oeste,12,Manola Larrañaga,Sí,2023-10-31,
194,Restaurante Bayo,Restaurante,2,Madrid Norte,9,Carolina Lopez,Sí,2016-10-07,
195,Bar Vergara,Bar,8,Getafe,15,Simón Coello,Sí,2021-12-02,
196,Bar Rosado,Bar,10,Móstoles,16,Baltasar Navas,Sí,2017-12-31,
197,Bar Tejedor,Bar,6,Alcobendas,13,Bernarda Gallo,Sí,2018-09-13,
198,Restaurante Pinilla,Restaurante,9,Leganés,15,Simón Coello,Sí,2019-10-27,
199,Bar Batlle,Bar,5,Madrid Oeste,12,Manola Larrañaga,No,2019-11-11,2022-08-03
200,Gasolinera Bernal,Gasolinera,4,Madrid Este,11,Tristán Laguna,No,2022-02-28,2023-09-07
201,Supermercado Sánchez,Supermercado,9,Leganés,15,Simón Coello,Sí,2018-09-19,
202,Gasolinera Bermejo,Gasolinera,11,Alcorcón,16,Baltasar Navas,Sí,2020-11-28,
203,Bar Malo,Bar,1,Madrid Centro,8,Perla Arenas,Sí,2023-02-13,
204,Gasolinera Frutos,Gasolinera,5,Madrid Oeste,12,Manola Larrañaga,Sí,2020-03-11,
205,Supermercado Bastida,Supermercado,3,Madrid Sur,10,Marcelino Palacio,Sí,2018-11-05,
206,Gasolinera Borja,Gasolinera,1,Madrid Centro,8,Perla Arenas,Sí,2025-10-16,
207,Bar Mendizábal,Bar,3,Madrid Sur,10,Marcelino Palacio,No,2022-01-06,2023-05-12
208,Gasolinera Serna,Gasolinera,8,Getafe,15,Simón Coello,Sí,2025-07-06,
209,Tienda Rosselló,Tienda,12,Fuenlabrada,17,Armando Caparrós,Sí,2024-12-20,
210,Restaurante Arias,Restaurante,4,Madrid Este,11,Tristán Laguna,No,2024-04-13,2025-11-09
211,Restaurante Alfaro,Restaurante,1,Madrid Centro,8,Perla Arenas,Sí,2023-10-01,
212,Tienda Baró,Tienda,9,Leganés,15,Simón Coello,Sí,2025-12-26,
213,Supermercado Roca,Supermercado,3,Madrid Sur,10,Marcelino Palacio,No,2024-08-07,2025-11-09
214,Gasolinera Nuñez,Gasolinera,1,Madrid Centro,8,Perla Arenas,Sí,2016-08-14,
215,Bar Mate,Bar,3,Madrid Sur,10,Marcelino Palacio,Sí,2022-05-16,
216,Bar Iniesta,Bar,9,Leganés,15,Simón Coello,Sí,2024-05-22,
217,Bar Collado,Bar,3,Madrid Sur,10,Marcelino Palacio,No,2017-05-29,2022-10-28
218,Gasolinera Piñol,Gasolinera,2,Madrid Norte,9,Carolina Lopez,Sí,2025-12-30,
219,Bar Cañellas,Bar,1,Madrid Centro,8,Perla Arenas,Sí,2019-01-27,
220,Bar Almazán,Bar,9,Leganés,15,Simón Coello,Sí,2023-02-02,
221,Bar Suarez,Bar,5,Madrid Oeste,12,Manola Larrañaga,Sí,2016-08-25,
222,Bar Ponce,Bar,2,Madrid Norte,9,Carolina Lopez,No,2017-01-18,2019-06-18
223,Restaurante Morell,Restaurante,7,San Sebastián de los Reyes,14,Azahara Giménez,Sí,2021-07-27,
224,Supermercado Adadia,Supermercado,9,Leganés,15,Simón Coello,Sí,2023-09-04,
225,Tienda Barberá,Tienda,6,Alcobendas,13,Bernarda Gallo,Sí,2022-11-03,
226,Bar Llopis,Bar,1,Madrid Centro,8,Perla Arenas,Sí,2021-02-11,
227,Bar Polo,Bar,3,Madrid Sur,10,Marcelino Palacio,Sí,2023-05-16,
228,Supermercado Martorell,Supermercado,4,Madrid Este,11,Tristán Laguna,Sí,2021-08-08,
229,Restaurante Rius,Restaurante,2,Madrid Norte,9,Carolina Lopez,Sí,2022-05-02,
230,Restaurante Tomás,Restaurante,3,Madrid Sur,10,Marcelino Palacio,No,2022-06-30,2023-02-09
231,Tienda Roldan,Tienda,7,San Sebastián de los Reyes,14,Azahara Giménez,Sí,2025-10-19,
232,Tienda Segovia,Tienda,12,Fuenlabrada,17,Armando Caparrós,Sí,2021-02-17,
233,Bar Prada,Bar,7,San Sebastián de los Reyes,14,Azahara Giménez,Sí,2021-07-29,
234,Bar Porras,Bar,1,Madrid Centro,8,Perla Arenas,Sí,2019-04-27,
235,Bar Palomino,Bar,6,Alcobendas,13,Bernarda Gallo,Sí,2017-09-29,
236,Supermercado Casares,Supermercado,1,Madrid Centro,8,Perla Arenas,Sí,2024-07-18,
237,Bar Terrón,Bar,7,San Sebastián de los Reyes,14,Azahara Giménez,Sí,2023-07-09,
238,Gasolinera Gimeno,Gasolinera,8,Getafe,15,Simón Coello,Sí,2023-05-12,
239,Gasolinera Matas,Gasolinera,5,Madrid Oeste,12,Manola Larrañaga,Sí,2024-09-05,
240,Bar Antúnez,Bar,9,Leganés,15,Simón Coello,Sí,2020-07-05,
241,Gasolinera Páez,Gasolinera,2,Madrid Norte,9,Carolina Lopez,Sí,2018-06-11,
242,Supermercado Rubio,Supermercado,12,Fuenlabrada,17,Armando Caparrós,No,2023-06-11,2024-06-26
243,Restaurante Tena,Restaurante,5,Madrid Oeste,12,Manola Larrañaga,Sí,2017-01-27,
244,Bar Pozuelo,Bar,7,San Sebastián de los Reyes,14,Azahara Giménez,Sí,2018-10-05,
245,Tienda Lumbreras,Tienda,1,Madrid Centro,8,Perla Arenas,Sí,2018-03-08,
246,Bar Cuenca,Bar,5,Madrid Oeste,12,Manola Larrañaga,Sí,2017-06-20,
247,Restaurante Arroyo,Restaurante,1,Madrid Centro,8,Perla Arenas,Sí,2023-04-18,
248,Restaurante Luís,Restaurante,5,Madrid Oeste,12,Manola Larrañaga,Sí,2022-12-15,
249,Bar Atienza,Bar,2,Madrid Norte,9,Carolina Lopez,Sí,2019-05-16,
250,Gasolinera Campoy,Gasolinera,7,San Sebastián de los Reyes,14,Azahara Giménez,No,2025-11-09,2025-12-28
251,Bar Paniagua,Bar,3,Madrid Sur,10,Marcelino Palacio,Sí,2022-10-21,
252,Tienda Otero,Tienda,3,Madrid Sur,10,Marcelino Palacio,Sí,2025-06-27,
253,Bar Oliver,Bar,8,Getafe,15,Simón Coello,Sí,2020-06-01,
254,Bar Rosado,Bar,3,Madrid Sur,10,Marcelino Palacio,Sí,2019-09-28,
255,Bar Barberá,Bar,6,Alcobendas,13,Bernarda Gallo,No,2019-10-07,2021-11-22
256,Tienda Luz,Tienda,2,Madrid Norte,9,Carolina Lopez,Sí,2025-10-30,
257,Bar Galvez,Bar,8,Getafe,15,Simón Coello,Sí,2022-04-19,
258,Bar Vara,Bar,2,Madrid Norte,9,Carolina Lopez,Sí,2018-04-26,
259,Gasolinera Murillo,Gasolinera,3,Madrid Sur,10,Marcelino Palacio,Sí,2020-09-28,
260,Bar Arribas,Bar,4,Madrid Este,11,Tristán Laguna,Sí,2016-08-16,
261,Bar Aguiló,Bar,3,Madrid Sur,10,Marcelino Palacio,Sí,2022-11-26,
262,Supermercado Caro,Supermercado,9,Leganés,15,Simón Coello,No,2025-07-25,2025-12-06
263,Restaurante Duarte,Restaurante,1,Madrid Centro,8,Perla Arenas,Sí,2016-07-14,
264,Gasolinera Alemany,Gasolinera,6,Alcobendas,13,Bernarda Gallo,Sí,2018-06-13,
265,Restaurante Molins,Restaurante,8,Getafe,15,Simón Coello,Sí,2018-10-22,
266,Bar Vilanova,Bar,1,Madrid Centro,8,Perla Arenas,No,2023-01-12,2023-11-12
267,Supermercado Sanjuan,Supermercado,8,Getafe,15,Simón Coello,Sí,2017-11-12,
268,Bar Moll,Bar,3,Madrid Sur,10,Marcelino Palacio,Sí,2019-10-11,
269,Bar Rocamora,Bar,2,Madrid Norte,9,Carolina Lopez,Sí,2019-12-29,
270,Gasolinera Montaña,Gasolinera,1,Madrid Centro,8,Perla Arenas,Sí,2025-12-08,
271,Bar Pol,Bar,2,Madrid Norte,9,Carolina Lopez,Sí,2021-01-25,
272,Supermercado Múñiz,Supermercado,8,Getafe,15,Simón Coello,Sí,2018-08-31,
273,Bar Miró,Bar,8,Getafe,15,Simón Coello,Sí,2018-03-03,
274,Tienda Albero,Tienda,1,Madrid Centro,8,Perla Arenas,Sí,2021-07-06,
275,Tienda Poza,Tienda,3,Madrid Sur,10,Marcelino Palacio,Sí,2021-03-05,
276,Bar Talavera,Bar,1,Madrid Centro,8,Perla Arenas,Sí,2018-12-25,
277,Bar Alemán,Bar,3,Madrid Sur,10,Marcelino Palacio,Sí,2024-08-11,
278,Tienda Rojas,Tienda,5,Madrid Oeste,12,Manola Larrañaga,No,2020-12-15,2024-02-21
279,Bar Buendía,Bar,7,San Sebastián de los Reyes,14,Azahara Giménez,Sí,2019-08-19,
280,Bar Bermudez,Bar,9,Leganés,15,Simón Coello,Sí,2021-01-05,
